device_type,symptom_1,symptom_2,symptom_3,fault_label
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة عالية,مشكلة في الكمبروسر
ثلاجة,لا تبرد,لا يعمل,عدم كهرباء,مشكلة في الكهرباء
ثلاجة,لا تبرد,صوت غريب,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت طقطقة,رائحة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت مرتفع,لا يوجد,مشكلة في الكمبروسر
ثلاجة,لا تبرد,برودة ضعيفة,جليد,مشكلة في الكمبروسر
ثلاجة,لا تبرد,هواء دافئ,رطوبة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت طقطقة,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة غريبة,صوت غريب,مشكلة في الكمبروسر
ثلاجة,لا تبرد,درجة حرارة عالية,لا برودة,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,صوت مرتفع,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,ماء تحت الثلاجة,رطوبة,خرطوم التصريف تالف
ثلاجة,تسريب ماء,ماء على الأرض,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,رطوبة,صوت غريب,خرطوم التصريف تالف
ثلاجة,تسريب ماء,ماء كثير,لا يوجد,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,صوت طقطقة,برودة ضعيفة,مروحة متسخة
ثلاجة,صوت مرتفع,برودة ضعيفة,جليد,مروحة التبريد
ثلاجة,صوت مرتفع,صوت غريب,اهتزاز,مروحة متسخة
ثلاجة,صوت مرتفع,رائحة,حرارة,مروحة متسخة
ثلاجة,صوت مرتفع,لا يوجد,لا يوجد,مروحة متسخة
ثلاجة,تجمد زائد,جليد كثير,برودة زائدة,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,صوت مرتفع,ماء متجمد,مروحة التبريد لا تعمل
ثلاجة,تجمد زائد,جليد,برودة,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,ماء متجمد,صوت,مروحة التبريد لا تعمل
ثلاجة,توقف عن العمل,لا كهرباء,لا استجابة,عطل في الكمبروسر
ثلاجة,توقف عن العمل,صوت ثم توقف,رائحة احتراق,مشكلة كهربائية
ثلاجة,توقف عن العمل,لا يعمل,لا يوجد,عطل في الكمبروسر
ثلاجة,توقف عن العمل,رائحة,دخان,مشكلة كهربائية
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,اهتزاز,صوت غريب,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة,صوت طقطقة,مشكلة في الكمبروسر
ثلاجة,صوت مرتفع,اهتزاز,صوت طقطقة,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,جهاز غير مستو,حركة,الجهاز غير مستوٍ
ثلاجة,تسريب ماء,لا يوجد,لا يوجد,انسداد فتحة التصريف
ثلاجة,تجمد زائد,لا يوجد,لا يوجد,درجة حرارة منخفضة جداً
ثلاجة,توقف عن العمل,لا يوجد,لا يوجد,عطل في الكمبروسر
مكيف,لا يبرد,هواء دافئ,فلتر متسخ,فلتر مسدود
مكيف,لا يبرد,صوت مرتفع,هواء ضعيف,نقص في الفريون
مكيف,لا يبرد,لا يعمل,عدم كهرباء,مشكلة في الكهرباء
مكيف,لا يبرد,صوت مرتفع,هواء دافئ,نقص الفريون
مكيف,لا يبرد,لا يوجد,لا يوجد,فلتر مسدود
مكيف,لا يبرد,هواء ضعيف,غبار,فلتر مسدود
مكيف,لا يبرد,رائحة,هواء دافئ,فلتر مسدود
مكيف,لا يبرد,صوت غريب,هواء ضعيف,نقص في الفريون
مكيف,تسريب ماء,ماء يسقط,رطوبة,انسداد مجرى التصريف
مكيف,تسريب ماء,صوت غريب,هواء بارد ضعيف,فلتر متسخ
مكيف,تسريب ماء,رطوبة,صوت غريب,مجرى تصريف مسدود
مكيف,تسريب ماء,ماء كثير,رطوبة,انسداد مجرى التصريف
مكيف,تسريب ماء,لا يوجد,لا يوجد,انسداد مجرى التصريف
مكيف,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
مكيف,صوت مرتفع,صوت طقطقة,هواء ضعيف,مروحة متسخة
مكيف,صوت مرتفع,رائحة,غبار,مروحة متسخة
مكيف,صوت مرتفع,لا يوجد,لا يوجد,مروحة متسخة
مكيف,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
مكيف,لا يعمل,لا ضوء,لا صوت,مشكلة في الكهرباء
مكيف,رائحة كريهة,غبار,هواء ضعيف,فلتر مسدود
مكيف,رائحة كريهة,صوت مرتفع,دخان,مشكلة في المحرك
مكيف,رائحة كريهة,رائحة,لا يوجد,فلتر مسدود
مكيف,لا يبرد,هواء دافئ,صوت,فلتر مسدود
مكيف,لا يبرد,فلتر متسخ,غبار,فلتر مسدود
مكيف,صوت مرتفع,اهتزاز,صوت طقطقة,الجهاز غير مستوٍ
مكيف,تسريب ماء,ماء,رطوبة,مجرى تصريف مسدود
غسالة,لا تدور,صوت غريب,اهتزاز,حمل غير متوازن
غسالة,لا تدور,توقف فجأة,صوت طقطقة,مشكلة في المحرك
غسالة,لا تدور,باب مفتوح,تنبيه,مشكلة في قفل الباب
غسالة,لا تدور,صوت طقطقة,اهتزاز,سير المحرك
غسالة,لا تدور,لا يوجد,لا يوجد,حمل غير متوازن
غسالة,لا تدور,اهتزاز شديد,صوت,حمل غير متوازن
غسالة,لا تدور,حركة غير طبيعية,صوت,حمل غير متوازن
غسالة,لا تدور,صوت غريب,لا يوجد,مشكلة في المحرك
غسالة,تسريب ماء,ماء على الأرض,خرطوم مفتوح,خرطوم تالف
غسالة,تسريب ماء,صوت غريب,ماء لا يتوقف,فلتر مسدود
غسالة,تسريب ماء,ماء كثير,رطوبة,خرطوم مفتوح
غسالة,تسريب ماء,خرطوم,ماء,خرطوم تالف
غسالة,تسريب ماء,لا يوجد,لا يوجد,خرطوم تالف
غسالة,صوت مرتفع,اهتزاز شديد,حركة غير طبيعية,حمل غير متوازن
غسالة,صوت مرتفع,صوت طقطقة,دوران بطيء,سير المحرك تالف
غسالة,صوت مرتفع,اهتزاز,صوت طقطقة,حمل غير متوازن
غسالة,صوت مرتفع,لا يوجد,لا يوجد,حمل غير متوازن
غسالة,لا تصرف الماء,ماء راكد,رائحة,انسداد مضخة التصريف
غسالة,لا تصرف الماء,ماء,رطوبة,انسداد مضخة التصريف
غسالة,لا تعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
غسالة,لا تعمل,لا ضوء,لا يوجد,مشكلة في الكهرباء
غسالة,لا تدور,دوران بطيء,صوت,سير المحرك
غسالة,صوت مرتفع,دوران بطيء,صوت طقطقة,سير المحرك تالف
غسالة,تسريب ماء,خرطوم مفتوح,ماء,خرطوم مفتوح
تلفزيون,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
تلفزيون,لا يعمل,ضوء أحمر,لا صورة,مشكلة في الشاشة
تلفزيون,لا يعمل,ريموت لا يعمل,بطاريات,مشكلة في الريموت
تلفزيون,لا يعمل,لا يوجد,لا يوجد,مشكلة في الكهرباء
تلفزيون,لا يعمل,لا ضوء,لا صوت,مشكلة في الكهرباء
تلفزيون,صورة مشوشة,إشارة ضعيفة,قنوات مفقودة,كابل إشارة تالف
تلفزيون,صورة مشوشة,تشويش,صوت مقطوع,إشارة ضعيفة
تلفزيون,صورة مشوشة,لا إشارة,تشويش,كابل إشارة تالف
تلفزيون,صورة مشوشة,لا يوجد,لا يوجد,إشارة ضعيفة
تلفزيون,لا صوت,صورة واضحة,صمت,مشكلة في السماعات
تلفزيون,لا صوت,صوت مقطوع,تشويش,كابل HDMI تالف
تلفزيون,لا صوت,صمت,لا يوجد,مشكلة في السماعات
تلفزيون,شاشة سوداء,ضوء يعمل,لا صورة,مشكلة في الشاشة
تلفزيون,شاشة سوداء,لا صورة,لا يوجد,مشكلة في الشاشة
تلفزيون,توقف عن العمل,إعادة تشغيل,حرارة,مشكلة في التبريد
تلفزيون,توقف عن العمل,حرارة,لا يعمل,مشكلة في التبريد
جوال,لا يشحن,منفذ متسخ,شحن بطيء,منفذ الشحن متسخ
جوال,لا يشحن,كابل لا يعمل,لا استجابة,كابل تالف
جوال,لا يشحن,شاحن تالف,لا تفاعل,شاحن تالف
جوال,لا يشحن,لا يوجد,لا يوجد,كابل تالف
جوال,لا يشحن,بطارية منتفخة,حرارة,مشكلة في البطارية
جوال,لا يشحن,شحن بطيء,منفذ,منفذ الشحن متسخ
جوال,بطارية سريعة,شحن سريع التفريغ,حرارة,البطارية تحتاج استبدال
جوال,بطارية سريعة,تفريغ سريع,لا يوجد,البطارية تحتاج استبدال
جوال,بطء,تجميد,توقف التطبيقات,ذاكرة ممتلئة
جوال,بطء,حرارة,استهلاك بطارية,معالج محمّل
جوال,بطء,لا يوجد,لا يوجد,ذاكرة ممتلئة
جوال,بطء,تطبيقات بطيئة,تجميد,ذاكرة ممتلئة
جوال,لا يعمل,شاشة سوداء,لا استجابة,مشكلة في الشاشة
جوال,لا يعمل,لا استجابة,لا يوجد,مشكلة في الشاشة
رسيفر,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
رسيفر,لا يعمل,كابل كهرباء,لا ضوء,قاطع كهرباء
رسيفر,لا يعمل,لا يوجد,لا يوجد,مشكلة في الكهرباء
رسيفر,لا إشارة,شاشة سوداء,لا قنوات,كابل إشارة تالف
رسيفر,لا إشارة,تشويش,قنوات مفقودة,هوائي تالف
رسيفر,لا إشارة,لا يوجد,لا يوجد,كابل إشارة تالف
رسيفر,توقف عن العمل,إعادة تشغيل,حرارة,مشكلة في التبريد
رسيفر,صورة مشوشة,تشويش,صوت مقطوع,إشارة ضعيفة
رسيفر,صورة مشوشة,لا إشارة,تشويش,إشارة ضعيفة
حاسب,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
حاسب,لا يعمل,ضوء لا يشتغل,لا صوت,مشكلة في الشاحن
حاسب,لا يعمل,كابل شحن,لا ضوء,كابل شحن تالف
حاسب,لا يعمل,لا يوجد,لا يوجد,مشكلة في الكهرباء
حاسب,بطء,تجميد,توقف البرامج,ذاكرة ممتلئة
حاسب,بطء,حرارة عالية,صوت مراوح,مشكلة في التبريد
حاسب,بطء,لا يوجد,لا يوجد,ذاكرة ممتلئة
حاسب,بطء,برامج بطيئة,تجميد,ذاكرة ممتلئة
حاسب,شاشة سوداء,ضوء يعمل,صوت يعمل,مشكلة في الشاشة
حاسب,شاشة سوداء,لا صورة,لا يوجد,مشكلة في الشاشة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
حاسب,صوت مرتفع,مراوح,حرارة,مروحة متسخة
حاسب,لا يشحن,كابل تالف,بطارية لا تشحن,مشكلة في الشاحن
حاسب,لا يشحن,لا شحن,لا يوجد,كابل شحن تالف
ثلاجة,لا تبرد,صوت مرتفع,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت غريب,درجة حرارة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة,صوت,عطل في الكمبروسر
ثلاجة,صوت مرتفع,جليد,برودة,مروحة التبريد
ثلاجة,تجمد زائد,صوت,برودة,مروحة التبريد لا تعمل
مكيف,لا يبرد,هواء,فلتر,فلتر مسدود
مكيف,صوت مرتفع,غبار,رائحة,مروحة متسخة
غسالة,لا تدور,اهتزاز,صوت,حمل غير متوازن
غسالة,صوت مرتفع,طقطقة,دوران,سير المحرك تالف
تلفزيون,لا يعمل,بطاريات,ريموت,مشكلة في الريموت
جوال,لا يشحن,كابل,شاحن,كابل تالف
رسيفر,لا إشارة,كابل,هوائي,كابل إشارة تالف
حاسب,بطء,ذاكرة,تطبيقات,ذاكرة ممتلئة
ثلاجة,لا تبرد,صوت,درجة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,برودة,صوت,مشكلة في الكمبروسر
ثلاجة,لا تبرد,اهتزاز,رائحة,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,ماء,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,رطوبة,ماء,خرطوم التصريف تالف
ثلاجة,صوت مرتفع,اهتزاز,صوت,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,طقطقة,برودة,مروحة متسخة
ثلاجة,تجمد زائد,جليد,صوت,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,برودة,ماء,مروحة التبريد لا تعمل
ثلاجة,توقف عن العمل,كهرباء,صوت,عطل في الكمبروسر
ثلاجة,توقف عن العمل,رائحة,توقف,مشكلة كهربائية
مكيف,لا يبرد,دافئ,ضعيف,فلتر مسدود
مكيف,لا يبرد,ضعيف,دافئ,نقص في الفريون
مكيف,لا يبرد,كهرباء,لا يعمل,مشكلة في الكهرباء
مكيف,تسريب ماء,ماء,رطوبة,انسداد مجرى التصريف
مكيف,تسريب ماء,رطوبة,ماء,مجرى تصريف مسدود
مكيف,صوت مرتفع,اهتزاز,مستو,الجهاز غير مستوٍ
مكيف,صوت مرتفع,طقطقة,ضعيف,مروحة متسخة
مكيف,رائحة كريهة,غبار,ضعيف,فلتر مسدود
مكيف,رائحة كريهة,دخان,صوت,مشكلة في المحرك
غسالة,لا تدور,صوت,اهتزاز,حمل غير متوازن
غسالة,لا تدور,توقف,طقطقة,مشكلة في المحرك
غسالة,لا تدور,باب,تنبيه,مشكلة في قفل الباب
غسالة,تسريب ماء,ماء,خرطوم,خرطوم تالف
غسالة,تسريب ماء,ماء,فلتر,فلتر مسدود
غسالة,صوت مرتفع,اهتزاز,حركة,حمل غير متوازن
غسالة,صوت مرتفع,طقطقة,دوران,سير المحرك تالف
غسالة,لا تصرف الماء,ماء,رائحة,انسداد مضخة التصريف
غسالة,لا تعمل,كهرباء,لا استجابة,مشكلة في الكهرباء
تلفزيون,لا يعمل,كهرباء,لا استجابة,مشكلة في الكهرباء
تلفزيون,لا يعمل,ضوء,صورة,مشكلة في الشاشة
تلفزيون,صورة مشوشة,إشارة,قنوات,كابل إشارة تالف
تلفزيون,صورة مشوشة,تشويش,صوت,إشارة ضعيفة
تلفزيون,لا صوت,صورة,صمت,مشكلة في السماعات
تلفزيون,لا صوت,مقطوع,تشويش,كابل HDMI تالف
تلفزيون,شاشة سوداء,ضوء,صورة,مشكلة في الشاشة
تلفزيون,توقف عن العمل,تشغيل,حرارة,مشكلة في التبريد
جوال,لا يشحن,منفذ,شحن,منفذ الشحن متسخ
جوال,لا يشحن,كابل,استجابة,كابل تالف
جوال,لا يشحن,شاحن,تفاعل,شاحن تالف
جوال,لا يشحن,بطارية,حرارة,مشكلة في البطارية
جوال,بطارية سريعة,تفريغ,حرارة,البطارية تحتاج استبدال
جوال,بطء,تجميد,تطبيقات,ذاكرة ممتلئة
جوال,بطء,حرارة,بطارية,معالج محمّل
جوال,لا يعمل,شاشة,استجابة,مشكلة في الشاشة
رسيفر,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
رسيفر,لا يعمل,كابل,ضوء,قاطع كهرباء
رسيفر,لا إشارة,شاشة,قنوات,كابل إشارة تالف
رسيفر,لا إشارة,تشويش,قنوات,هوائي تالف
رسيفر,توقف عن العمل,تشغيل,حرارة,مشكلة في التبريد
رسيفر,صورة مشوشة,تشويش,صوت,إشارة ضعيفة
حاسب,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
حاسب,لا يعمل,ضوء,صوت,مشكلة في الشاحن
حاسب,لا يعمل,كابل,ضوء,كابل شحن تالف
حاسب,بطء,تجميد,برامج,ذاكرة ممتلئة
حاسب,بطء,حرارة,مراوح,مشكلة في التبريد
حاسب,شاشة سوداء,ضوء,صوت,مشكلة في الشاشة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
حاسب,لا يشحن,كابل,بطارية,مشكلة في الشاحن
ثلاجة,لا تبرد,صوت طقطقة,رائحة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت غريب,اهتزاز,مشكلة في الكمبروسر
ثلاجة,لا تبرد,برودة ضعيفة,جليد,مشكلة في الكمبروسر
ثلاجة,لا تبرد,رائحة غريبة,صوت,مشكلة في الكمبروسر
ثلاجة,لا تبرد,درجة حرارة عالية,برودة,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,صوت مرتفع,رطوبة,انسداد فتحة التصريف
ثلاجة,تسريب ماء,ماء تحت الثلاجة,رطوبة,خرطوم التصريف تالف
ثلاجة,تسريب ماء,ماء على الأرض,رطوبة,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,صوت طقطقة,برودة ضعيفة,مروحة متسخة
ثلاجة,صوت مرتفع,برودة ضعيفة,جليد,مروحة التبريد
ثلاجة,تجمد زائد,جليد كثير,برودة زائدة,درجة حرارة منخفضة جداً
ثلاجة,تجمد زائد,صوت مرتفع,ماء متجمد,مروحة التبريد لا تعمل
ثلاجة,توقف عن العمل,لا كهرباء,لا استجابة,عطل في الكمبروسر
ثلاجة,توقف عن العمل,صوت ثم توقف,رائحة احتراق,مشكلة كهربائية
مكيف,لا يبرد,هواء دافئ,فلتر متسخ,فلتر مسدود
مكيف,لا يبرد,صوت مرتفع,هواء ضعيف,نقص في الفريون
مكيف,لا يبرد,لا يعمل,عدم كهرباء,مشكلة في الكهرباء
مكيف,تسريب ماء,ماء يسقط,رطوبة,انسداد مجرى التصريف
مكيف,تسريب ماء,صوت غريب,هواء بارد ضعيف,فلتر متسخ
مكيف,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
مكيف,صوت مرتفع,صوت طقطقة,هواء ضعيف,مروحة متسخة
مكيف,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
مكيف,رائحة كريهة,غبار,هواء ضعيف,فلتر مسدود
مكيف,رائحة كريهة,صوت مرتفع,دخان,مشكلة في المحرك
غسالة,لا تدور,صوت غريب,اهتزاز,حمل غير متوازن
غسالة,لا تدور,توقف فجأة,صوت طقطقة,مشكلة في المحرك
غسالة,لا تدور,باب مفتوح,تنبيه,مشكلة في قفل الباب
غسالة,تسريب ماء,ماء على الأرض,خرطوم مفتوح,خرطوم تالف
